127.0.0.1 - - [05/Feb/2020:20:42:37 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/style-files/home-root-style.css HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/style-files/home-slider-style2.css HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/style-files/home-footer-style2.css HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/style-files/home-header-style2.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/resource/icons/email_ic.png HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/resource/icons/search_ic.png HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/resource/icons/call_ic.png HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/js-files/home-controller.js HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/resource/slider/01.jpg HTTP/1.1" 200 232701
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/resource/slider/00.jpg HTTP/1.1" 200 63169
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/resource/fonts/CenturyGothic.ttf HTTP/1.1" 200 137568
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:38 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:41 +0530] "GET /CuMerchandise/resource/slider/02.jpg HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:42:44 +0530] "GET /CuMerchandise/resource/slider/04.jpg HTTP/1.1" 200 35125
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:43:08 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=2 HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:44:01 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=4 HTTP/1.1" 200 5882
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:45:08 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:45:08 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:45:08 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [05/Feb/2020:20:45:09 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
